,dec,ra,psi,phase,redshift,mass_1,mass_2,geocent_time,luminosity_distance,theta_jn
13201,-0.976156781,3.408929268,5.868199447,0.911961446,0.502731798,8.538311667,27.20189943,1112212971,2882.031548,1.589029412
78226,0.934230178,1.910825265,6.232367993,2.623331697,2.292597067,22.00476653,8.687615053,1125722125,18703.41517,0.520372368
50413,-0.595833043,2.407141729,3.896366779,1.811772074,1.128874309,7.495745119,40.00116679,1110077622,7791.301423,2.337226921
21551,0.957749367,3.879598921,3.221207883,1.46903675,0.862262763,5.254837049,22.77098144,1108096500,5576.61005,2.551241777
49799,-1.014976601,2.791887848,1.875171087,1.68673634,1.062399857,7.111951646,22.52364047,1111255947,7225.168781,1.679102034
57615,-0.728438615,0.649691318,5.200312569,3.570030591,1.955185288,17.13339688,31.32142037,1130966020,15386.30924,2.346834778
47079,0.13529543,0.284230622,4.803668539,4.120586826,0.447383535,6.727512502,10.70452697,1125291646,2505.756489,0.577086689
96412,0.629293725,1.006239737,2.643256399,1.954812982,0.286280208,13.04758693,56.02738742,1119952334,1484.04836,0.32744922
82403,0.521721687,6.000780225,2.146459695,0.643237173,2.401266621,11.67982545,10.88818333,1119666402,19791.54078,1.442211918
94774,-0.474020565,0.560533223,0.16360807,0.186296036,1.881066187,19.99433275,6.599661146,1132944645,14671.47681,0.889035419
12518,-1.271986693,3.670083498,2.542682941,4.320279557,0.338997238,7.474574349,10.2245338,1133488377,1805.510279,2.309438517
86460,-0.00621774,4.725829695,3.439071542,2.40067688,1.655989877,7.687820686,9.572460364,1135225233,12535.87578,2.287406374
87530,-0.099498335,2.936588022,2.490344963,3.185065081,2.507999034,5.491946556,6.994089559,1108554340,20868.71392,0.649245549
20832,-0.617114242,0.609060239,1.573528836,1.532005784,3.120377331,16.46923638,5.728328413,1132262499,27190.0709,0.748857316
97954,-0.30678743,3.166187023,4.425472834,1.366330802,2.173214803,5.648062956,10.88300354,1112341102,17518.65956,2.175035156
9967,1.223626268,2.065014433,2.532899986,2.072352926,1.670265358,13.34504671,21.80832825,1105222346,12669.64808,2.353499733
82592,-0.85641901,1.980281639,5.393400385,0.03332006,1.540629282,5.841246899,25.86174903,1113882382,11463.93257,1.862427894
3699,-0.300785338,5.4085702,2.71995727,4.833721498,0.990965618,15.54323666,22.91133699,1126156026,6626.654877,1.602849444
24529,-1.267938822,0.436890449,0.125497825,6.018104382,1.42222027,6.452471566,30.72589416,1124849172,10381.60348,2.414323799
3276,-0.816123332,2.007513407,0.936923108,3.710483082,2.006394805,17.90561075,12.31516349,1115269298,15883.28109,1.363798438
56849,1.147244842,5.164704302,1.880713089,0.754247637,0.91918809,12.39358176,8.989131588,1130522842,6036.325004,1.171647659
3949,0.641384262,2.926217227,4.637967028,0.046072548,1.115655705,9.653961995,21.39668713,1118303638,7678.04932,1.255932647
74964,1.216678752,0.955948043,1.026277981,1.086462773,1.053862582,5.484913652,27.85609587,1135086893,7153.087858,0.503492106
